id;start_date;end_date;language
1;2020-06-29T05:34:47;2020-06-29T03:25:02;SPANISH
2;2020-06-28T10:24:58;2020-06-29T05:29:23;SPANISH
3;2020-06-29T01:20:17;2020-06-28T11:54:26;FRENCH
4;2020-06-28T16:37:48;2020-06-29T04:09:14;FRENCH
5;2020-06-29T02:08:06;2020-06-29T06:55:05;FRENCH
6;2020-06-28T20:00:27;2020-06-29T08:08:41;FRENCH
7;2020-06-28T21:45:47;2020-06-28T15:36:38;FRENCH
8;2020-06-28T20:42:00;2020-06-29T06:58:08;SPANISH
9;2020-06-28T19:23:09;2020-06-28T16:04:32;SPANISH
10;2020-06-29T03:35:13;2020-06-28T14:09:43;SPANISH
